,phenovaluecount,prephenovalue,postphenovalue
3170,1,Benign thyroid nodules with dysfunction both hyper- and hypo- Suspected Hashimoto's Disease,x
3171,1,Cushing's Disease,x
3172,1,It is likely possible,x
3173,Phenotype,deviated septum,x
3174,6376,-,x
3175,10,Yes - no history of impact trauma,x
3176,8,None,x
3177,7,Yes- history of trauma/impact,x
3178,3,Congenital multiple family members have needed surgery for this condition,x
3179,1,yes - no history of impact trauma,x
3180,Phenotype,Renal hypoplasia,x
3181,6394,-,x
3182,9,None,x
3183,1,none,x
3184,1,Left Right Neither,x
3185,Phenotype,inverted nipples,x
3186,6360,-,x
3187,33,None,x
3188,6,Yes - both,x
3189,2,sometimes,x
3190,2,Sometimes,x
3191,1,yes - both,x
3192,1,Yes-Left only,x
3193,Phenotype,Do You Have Lucid Dreams?,x
3194,6255,-,x
3195,38,No,x
3196,34,Yes occasional,x
3197,32,Yes many times per year,x
3198,26,Yes but rarely,x
3199,14,Yes at least several times a week,x
3200,2,Yes But Rarely,x
3201,1,Yes Many Times Per Year,x
3202,1,Only once,x
3203,1,yes occasional,x
3204,1,Yes Only A Few Times Ever,x
3205,Phenotype,Allergy to Hair Dye,x
3206,6300,-,x
3207,73,None,x
3208,14,Unknown,x
3209,8,Sometimes allergic response,x
3210,6,Burns like hell leaves scabs,x
3211,2,Developed allergy after >10 years of use,x
3212,1,burns like hell leaves scabs,x
3213,1,developed allergy after >10 years of use,x
3214,Phenotype,Cholesterol,Cholesterol
3215,6257,-,-
3216,42,High,High
3217,41,Low/normal,Normal
3218,28,< 200 mg/dl normal ,Normal
3219,14,Borderline high at times.,U
3220,8,195 mg/dl,Normal
3221,4,Don't know.,U
3222,4,average,Normal
3223,2,< 200 mg/dL Normal ,Normal
3224,1,low/normal,Normal
3225,1,High but vegan.,U
3226,1,High HDL low LDL Cholesterol (may have inherited from mother),U
3227,1,Hereditary hyperlipidemia,U
3228,1,Normal,Normal
3229,Phenotype,Skin dry,x
3230,6323,-,x
3231,32,Combination ,x
3232,30,Yes,x
3233,9,Oily skin,x
3234,5,Rs17553719,x
3235,3,--,x
3236,1,Used to be oily but I went on accutane so now it's quite dry,x
3237,1,Oily as youth dry as adult,x
3238,1,Very ,x
3239,Phenotype,Inflammation,Inflammation
3240,6375,-,-
3241,14,Strong and harmful greater than average inflammatory response to injury,Yes
3242,13,No,No
3243,2,rheumatoid arthritis with positive RA factor,Yes
3244,1,NO,No
3245,Phenotype,Pulmonary Fibrosis,x
3246,6380,-,x
3247,21,No,x
3248,1,NO,x
3249,1,Yes in family. Some symptoms indicating predisposition especially with cigarette smoking - more than typical,x
3250,1,family history of lung problems. probably alpha 1 anti tripsen gene and rhinitis,x
3251,1,rs2736100,x
3252,Phenotype,Political Ideology,x
3253,6012,-,x
3254,80,Liberal,x
3255,39,Libertarian,x
3256,27,Progressive liberal,x
3257,23,Socialist,x
3258,23,Social liberal fiscal moderate,x
3259,21,Conservative,x
3260,17,Social liberal/fiscal conservative,x
3261,15,Rational anarchist,x
3262,11,Thats what is wrong with the world now,x
3263,9,Not sure,x
3264,9,Left-libertarian,x
3265,9,Green,x
3266,8,social liberal/fiscal conservative,x
3267,8,Democratic socialist,x
3268,8,Techno-progressive liberal,x
3269,7,Anarchist,x
3270,7,Independent but i sway left,x
3271,6,Republican gun owning & carrying,x
3272,5,Techno-Progressive Liberal,x
3273,4,Techno-Conservative,x
3274,4,Centrist,x
3275,4,Independent right leaning,x
3276,3,Communist,x
3277,3,not sure,x
3278,3,liberal,x
3279,2,Social democracy conservative,x
3280,2,Independent libertarian leaning,x
3281,2,Democratic Socialist,x
3282,2,Techno-anarchist,x
3283,2,Social Anarchist,x
3284,2,Nonpartisan immortalist,x
3285,2,Social liberal green fiscal moderate,x
3286,2,ex-Trotskyistromantic anticapitalist,x
3287,2,Minarchist,x
3288,2,radical centrist,x
3289,1,Representative Democracy Green Socialist,x
3290,1,Constitutional Conservative,x
3291,1,Independent left leaning,x
3292,1,Moderate,x
3293,1,Humanist,x
3294,1,Frisian patriot and own Clan supporter!,x
3295,1,American Solidarity Party,x
3296,1,Independent/Constitutionalist,x
3297,1,communist,x
3298,1,Pragmatic realist social progressive libertarian,x
3299,1,Rational Anarchist,x
3300,1,pragmatic realist social progressive libertarian,x
3301,1,political ecology,x
3302,1,Liberal ,x
3303,1,Independent but i sway right,x
3304,1,green,x
3305,1,Independent but I sway right,x
3306,1,Liberal republican,x
3307,1,Neo-Reactionary,x
3308,1,Omni-Encompassing,x
3309,Phenotype,Post traumatic Stress Disorder or PTSD?,Post traumatic Stress Disorder or PTSD?
3310,6360,-,-
3311,28,Yes,Yes
3312,14,No,No
3313,2,Ptsd,Yes
3314,1,NO,No
3315,Phenotype,Vasovagal syncopy or Neurocardiogenic syncopy,x
3316,6388,-,x
3317,8,No,x
3318,8,Yes,x
3319,1,NO,x
3320,Phenotype,Pain Tolerance,x
3321,6351,-,x
3322,22,High,x
3323,13,Depends on the kind of pain,x
3324,10,Low,x
3325,5,Very high,x
3326,1,Very High,x
3327,1,low,x
3328,1,Yes-9 hours ,x
3329,1,I live in pain. lots of meds. I am screaming of it... so what tolerance-I really have no idea. I guess the pains are unbearable. ,x
3330,Phenotype,"Do you prefer python, matlab, or R?",x
3331,6380,-,x
3332,9,Python,x
3333,5,R,x
3334,4,Python & R,x
3335,4,None,x
3336,2,Python & r,x
3337,1,none,x
3338,Phenotype,Atypical Sulfonomide Antibiotic Reaction,x
3339,6330,-,x
3340,38,No,x
3341,13,Sulfonomide sensitivity,x
3342,5,Dont know,x
3343,4,Rash,x
3344,4,Hives,x
3345,3,Bloody blisters in throat and severe stomach pain,x
3346,2,Never taken antibiotics-unknown reaction,x
3347,1,Feeling of extreme pressure in neck and back of head,x
3348,1,asthmatic reaction,x
3349,1,Yes,x
3350,1,hives,x
3351,1,yes,x
3352,1,Yes get itchy no hives,x
3353,Phenotype,Red Hair,x
3354,6267,-,x
3355,74,No,x
3356,13,Red highlights,x
3357,13,Red hair carrier (rr),x
3358,11,Have it and carry it,x
3359,5,Redhaired all over in youth now red moustache and pubic hair,x
3360,4,Red hair carrier (Rr),x
3361,4,A small number of random red hairs but overall non-redhaired and a carrier,x
3362,3,Val60leu,x
3363,2,None but a carrier,x
3364,2,Slight red-highlights in the right light have red-headed bio-child,x
3365,2,Yes,x
3366,1,Red undertones carrier,x
3367,1,Red Highlights,x
3368,1,Non-carrier (rr),x
3369,1,Slight red-highlights in the right light Have red-headed bio-child,x
3370,1,yes,x
3371,Phenotype,Sleep Disorders,Sleep Disorders
3372,6268,-,-
3373,40,No,No
3374,30,Insomnia,Yes
3375,25,Insomnia narcolepsy /w cataplexy narcolepsy /wo cataplexy idiopathic hypersomnia parasomnias sleep apnea,Yes
3376,11,Sleep apnea,Yes
3377,8,Sleep paralysis,Yes
3378,6,Restless leg syndrome,Yes
3379,6,Delayed sleep phase syndrome,Yes
3380,2,Insomnia sleep paralysis and sleep apnea,Yes
3381,1,Insomnia Narcolepsy /w Cataplexy Narcolepsy /wo Cataplexy Idiopathic Hypersomnia Parasomnias Sleep Apnea,Yes
3382,1,delayed sleep phase syndrome,Yes
3383,1,parasomnia,Yes
3384,1,MULTIPLE,Yes
3385,1,idiopathic hypersomnia,Yes
3386,1,"Advanced sleep cycle or ""Lark"" early to bed early to rise",U
3387,1,Multiple,Yes
3388,1,Narcolepsy but I may be a short sleeper?,Yes
3389,1,Insomnia restless leg and sleep apnea ,Yes
3390,Phenotype,Do You Suffer From Agoraphobia?,Do You Suffer From Agoraphobia?
3391,6268,-,-
3392,82,No,No
3393,28,Somewhat,Yes
3394,23,Yes,Yes
3395,4,In the past,U
3396,Phenotype,"hemophilia C    (factor XI deficiency is caused by ""rare mutations"" in the F11 gene)",x
3397,6390,-,x
3398,10,None,x
3399,3,Tonsillectomy,x
3400,1,none,x
3401,1,This is not a phenotype,x
3402,Phenotype,Are You The Advertising Phenotype?,x
3403,6333,-,x
3404,45,No,x
3405,12,Wtf,x
3406,5,Yes,x
3407,5,Unknown,x
3408,4,WTF,x
3409,1,yes,x
3410,Phenotype,Skin - Fitzpatrick Scale,x
3411,6247,-,x
3412,58,Type iii,x
3413,52,Type ii,x
3414,17,Type i,x
3415,15,Type iv,x
3416,4,All i know is its tan,x
3417,4,Type III,x
3418,1,Type II,x
3419,1,Type IV,x
3420,1,Type 1 - no freckles always burns,x
3421,1,Type V,x
3422,1,III,x
3423,1,Iii,x
3424,1,type iii admixture ,x
3425,1,Type iii admixture ,x
3426,Phenotype,Score on Big Five at PersonalityLab.org,x
3427,6387,-,x
3428,2,dont know,x
3429,2,Ex33 ag73 co62 ne38 op88,x
3430,2,Dont know,x
3431,1,Ex31 ag89 co75 ne29 op88,x
3432,1,Ex15 ag42 co46 nu88 op60,x
3433,1,Ex67 Ag58 Co27 Nu42 Op100,x
3434,1,ex48 ag90 co67 ne25 op77,x
3435,1,Ex44 Ag85 Co40 Ne77 Op98,x
3436,1,ex11 ag46 co25 ne20 op90,x
3437,1,Ex31 Ag44Co48Ne54Op69,x
3438,1,Ex62 ag96 co92 ne21 op94,x
3439,1,Ex77 ag42 co35 nu65 op71,x
3440,1,Ex71 ag81 co52 nu33 op92,x
3441,1,Dont remember it has been so long ago,x
3442,1,Ex38 ag69 co48 ne96 op67,x
3443,Phenotype,"Brunette, O+, Caucasian",x
3444,6375,-,x
3445,13,Brunette o+ caucasian,x
3446,7,Brunette a+ caucasian,x
3447,2,Brunette O- Caucasian,x
3448,2,Brunette o- caucasian,x
3449,1,Brunette A+ Caucasian,x
3450,1,Dishwater blonde B+ caucasian mostly,x
3451,1,Brunette O+ Caucasian,x
3452,1,Dishwater blonde A+ Caucasian ,x
3453,1,Blond o+ caucasian,x
3454,1,Dishwater blonde a+ caucasian ,x
3455,Phenotype,Resting Heart Rate ,x
3456,6322,-,x
3457,14,65-70,x
3458,11,80 - 120,x
3459,11,60,x
3460,10,80-90,x
3461,5,52,x
3462,4,50-55,x
3463,4,90,x
3464,4,58,x
3465,4,89,x
3466,3,71,x
3467,3,55,x
3468,3,30-40bpm,x
3469,2,dont know,x
3470,2,66,x
3471,1,0-200,x
3472,1,72,x
3473,1,70-90,x
3474,Phenotype,Wanting to be immortal,x
3475,6246,-,x
3476,53,No,x
3477,33,Want to be immortal but if that's not possible dying is ok,x
3478,33,Immortalist,x
3479,11,This is not a phenotype,x
3480,7,Oh hell no,x
3481,7,Only if everyone else is too,x
3482,4,There can be only one! ,x
3483,3,N/a,x
3484,3,Yes!!! doing everthing in my power to acheive this goal.  only organic healthy foods along with many daily suppliments gym 4x a week,x
3485,1,want to be immortal but if that's not possible dying is Ok,x
3486,1,oh hell no,x
3487,1,nan,x
3488,1,YES!!! Doing everthing in my power to acheive this goal.  Only Organic healthy foods along with many daily suppliments gym 4X a week,x
3489,1,extremely extended lifespan,x
3490,Phenotype,Motion sickness,Motion sickness
3491,6124,-,-
3492,86,No,No
3493,80,Yes,Yes
3494,21,When i was younger,U
3495,20,Sometimes,U
3496,18,Car only occasional ,U
3497,13,Only sea-sickness,U
3498,12,Depends on what and where,U
3499,8,None,No
3500,7,Developed as an adult,Yes
3501,5,Different,U
3502,2,sea sickness as older adult,U
3503,2,Car sick even gaming causes motion sickness,U
3504,1,When I was younger,U
3505,1,only sea-sickness,U
3506,1,Don't understand the question,U
3507,1,different,U
3508,1,car sick even gaming causes motion sickness,U
3509,1,Only with jerky tv and video games. no problems in real life,U
3510,1,Yes as a child,U
3511,Phenotype,Cusp of Carabelli,x
3512,6391,-,x
3513,8,No,x
3514,3,Present on first and third molars,x
3515,2,Yes,x
3516,1,yes,x
3517,Phenotype,brown hair colour,x
3518,6185,-,x
3519,49,Medium brown,x
3520,37,Brown-black,x
3521,21,Dark with red highlights,x
3522,18,Light brown,x
3523,15,Medium brown with red sheen,x
3524,12,False,x
3525,11,Med brown with red and blonde highlights,x
3526,8,Caucasian,x
3527,5,Dark blonde with red and blonde highlights,x
3528,5,Brown and silver,x
3529,4,Brown,x
3530,4,Medium Blonde with some golden,x
3531,3,Strawberry blonde,x
3532,3,Brown-Black,x
3533,3,Medium brown premature gray,x
3534,3,rs1805007,x
3535,2,Auburn,x
3536,2,caucasian,x
3537,2,Rs1805007,x
3538,2,Blonde as a child then darker to brown as i age,x
3539,2,Dark brown with red tinges,x
3540,1,brown,x
3541,1,blonde as a child then darker to brown as I age,x
3542,1,strawberry blonde,x
3543,1,Medium Brown with red sheen bleaches fast in UV light,x
3544,1,Caucasion,x
3545,1,medium brown,x
3546,1,light brown,x
3547,1,Really one-noted question,x
3548,1,True,x
3549,Phenotype,Diagnosed Vitamin D deficiency,Diagnosed Vitamin D deficiency
3550,6342,-,-
3551,22,Yes - below 25 nmol/l,Yes
3552,17,No,No
3553,12,Yes - insufficient 25–74 nmol/l (10–29.6 ng/ml) ,Yes
3554,6,Yes,Yes
3555,3,Yes - below 25 nmol/L,Yes
3556,1,Yes - Insufficient 25–74 nmol/L (10–29.6 ng/mL) ,Yes
3557,1,Yes - 20 nmol/l,Yes
3558,1,Yes 13,Yes
3559,Phenotype,Affinity to Cannabis,x
3560,6297,-,x
3561,17,Regular,x
3562,15,Helps with chronic pain nausea insomnia and headaches more than medications,x
3563,14,Non-user tried but dislike,x
3564,13,Non-user one-time user casual user (those who used it in the past year) regular users (those who used it in the past month) chronic users (those who have used it in the past week or more frequently),x
3565,8,Only in high school.,x
3566,8,Non-user never tried,x
3567,6,Casual user,x
3568,6,Non user tried but every time i did i became paranoid and tripped like mushrooms or lsd.  terrible,x
3569,6,Rare user depends on strain,x
3570,4,Horrible! Extreme Anxiety/Depression,x
3571,2,Would be regular +++ affinity,x
3572,2,Non .. affinity to cannabis!,x
3573,2,would be regular +++ affinity,x
3574,1,non-user never tried,x
3575,1,non-user one-time user casual user (those who used it in the past year) regular users (those who used it in the past month) chronic users (those who have used it in the past week or more frequently),x
3576,1,regular,x
3577,1,non user tried but every time I did I became paranoid and tripped like mushrooms or lsd.  terrible,x
3578,1,Horrible! extreme anxiety/depression,x
3579,Phenotype,Can you bend your fifth finger (pinky) without bending your fourth finger (ring)?,x
3580,6337,-,x
3581,43,No on both hands,x
3582,15,Yes on both hands,x
3583,8,Yes on left hand no on right hand,x
3584,1,yes on right hand no on left,x
3585,1,Yes on right hand no on left,x
3586,Phenotype,Number of fingers,x
3587,6178,-,x
3588,175,Standard,x
3589,51,10 (8 fingers 2 thumbs),x
3590,1,10,x
3591,Phenotype,Black,x
3592,6192,-,x
3593,167,White,x
3594,13,No,x
3595,9,African,x
3596,4,0.5% african,x
3597,4,2% sub-saharan african,x
3598,3,What?,x
3599,2,Human,x
3600,1,0.5% African,x
3601,1,16.7% African ,x
3602,1,2% Sub-Saharan African,x
3603,1,.3%,x
3604,1,white,x
3605,1,Yes,x
3606,1,human,x
3607,1,8% african,x
3608,1,33.7% African,x
3609,1,4%,x
3610,1,23 and me shows no African DNA my heritage.com shows 2.9% North African ,x
3611,Phenotype,blue eyes with yellow  stripes making them look depending on the light or my mood,x
3612,6390,-,x
3613,9,No,x
3614,3, fair skin with freckles dark blonde,x
3615,1,i think so,x
3616,1, fair skin with freckles dark Blonde,x
3617,1,I think so,x
3618,Phenotype,Income Range?,x
3619,6295,-,x
3620,21,$100k,x
3621,13,80k,x
3622,12,$50k,x
3623,8,$60k,x
3624,8,This is not a snp ,x
3625,7,$30k,x
3626,7,$140k,x
3627,4,$120K,x
3628,4,<$10k,x
3629,3,$20k,x
3630,3,$175k,x
3631,3,$70k,x
3632,3,0000.0000k,x
3633,2,$120k,x
3634,2,$0k,x
3635,2,$210k,x
3636,1,>average,x
3637,1,Still live with my parents who make about $100000,x
3638,1,Smile and appreciation! ),x
3639,1,this is not a snp ,x
3640,1,$150k,x
3641,1,$40k,x
3642,1,$50K,x
3643,1,rs10429582(TC),x
3644,Phenotype,Ocular migraines,x
3645,6376,-,x
3646,16,Yes,x
3647,12,No,x
3648,1,no,x
3649,Phenotype,"brown hair colour, white skin color",x
3650,6371,-,x
3651,14,Yes,x
3652,12,Caucasian,x
3653,5,Dark brown hair colour white skin colour,x
3654,1,dark brown hair colour white skin colour,x
3655,1,yes,x
3656,1,No,x
3657,Phenotype,Hypospadias,x
3658,6385,-,x
3659,14,No,x
3660,2,Yes,x
3661,1,partially the hole is not on the underside but close.,x
3662,1,no,x
3663,1,Partially the hole is not on the underside but close.,x
3664,1,nan,x
3665,Phenotype,clubfoot,x
3666,6381,-,x
3667,20,No,x
3668,2,Clubfoot present at birth,x
3669,1,Clubfoot Present At Birth,x
3670,1,bilaterally,x
3671,Phenotype,Hazel Eyes,x
3672,6359,-,x
3673,22,Hazel,x
3674,14,Blue,x
3675,6,Green,x
3676,1,blue,x
3677,1,Brown,x
3678,1,brown,x
3679,1,No,x
3680,Phenotype,No Allergies,x
3681,6366,-,x
3682,20,No allergies,x
3683,7,Food sensitivities chemical sensitivities hayfever,x
3684,6,Rhinitis (seasonal),x
3685,2,Allergies to dust and pollen but no skin-test reaction,x
3686,1,No Allergies,x
3687,1,Rhinitis dust and animal dander no food allergies,x
3688,1,Acari,x
3689,1,Allergies to drugs but no environmental or food allergies,x
3690,Phenotype,Cat or Dog person,Cat or Dog person
3691,6083,-,-
3692,93,Dog,Dog
3693,85,Cat,Cat
3694,50,Cats and dogs,U
3695,26,Both but cats more than dogs,Cat
3696,18,Both,U
3697,15,Both but dogs more than cats,Dog
3698,13,Neither,U
3699,13,Dogs and cats but allergic to cats :(,U
3700,4,Both but cats more than dogs (also allergic to cats(,U
3701,2,Dog (actually rabbit person!),U
3702,2,Dogs but allergic to both,U
3703,1,both but cats more than dogs (also allergic to cats(,U
3704,Phenotype,Do hops taste like soap?,x
3705,6320,-,x
3706,51,No,x
3707,17,Yes,x
3708,15,Don't eat them,x
3709,1,don't eat them,x
3710,1,Unknown,x
3711,Phenotype,SAT Verbal,x
3712,6245,-,x
3713,33,Never taken,x
3714,16,800,x
3715,13,Country with no sat,x
3716,13,780,x
3717,10,730,x
3718,10,710,x
3719,9,Don't remember,x
3720,7,760,x
3721,6,750,x
3722,5,660,x
3723,5,Verbal higher than math don't remember,x
3724,5,690,x
3725,4,Country with no SAT,x
3726,3,530,x
3727,2,650,x
3728,2,720,x
3729,2,640,x
3730,1,never taken,x
3731,1,787,x
3732,1,680,x
3733,1,540,x
3734,1,650 on sample test,x
3735,1,733,x
3736,1,521,x
3737,1,728,x
3738,1,719,x
3739,1,Never & have BA & above,x
3740,1,670,x
3741,1,Never & have ba & above,x
3742,1,verbal higher than math don't remember,x
3743,1,650 (710R),x
3744,1,790,
3745,Phenotype,Persistant Muscle Pain or Fatigue,Persistant Muscle Pain or Fatigue
3746,6254,-,-
3747,60,Daily muscle pain and fatigue,Yes
3748,34,None,No
3749,31,Daily fatigue,Yes
3750,12,Chronic connective tissue pain and fatigue,Yes
3751,8,Rarely,U
3752,5,Daily muscle pain,Yes
3753,1,none,No
3754,Phenotype,erectil disfunction ,x
3755,6259,-,x
3756,70,No,x
3757,27,N/a,x
3758,17,Yes,x
3759,15,Female,x
3760,13,Type ii,x
3761,3,nan,x
3762,1,Type II,x
3763,Phenotype,Ability to find a bug in openSNP,x
3764,6312,-,x
3765,20,Like the one that allowed this question?,x
3766,13,Low (desire to) ,x
3767,9,Extremely high,x
3768,9,somewhat,x
3769,8,Positive,x
3770,6,Only creating bugs,x
3771,6,High,x
3772,5,LOW ABILITY,x
3773,5,extremely high,x
3774,5,Somewhat,x
3775,5,Low ability,x
3776,1,c-c-combo breaker!,x
3777,1,I need more coffee!,x
3778,Phenotype,dark Blonde,x
3779,6279,-,x
3780,33,Dark blonde/light brown,x
3781,27,No,x
3782,12,Dark blonde ,x
3783,10,Medium brown,x
3784,8,Medium to dark brown,x
3785,8,Light brown,x
3786,7,Very light blonde as child to med brown as adult,x
3787,5,Toe head until 5,x
3788,3,Reddish medium brown,x
3789,3,light Brown,x
3790,3,rs1667394,x
3791,2,Black,x
3792,1,Reddish Medium Brown,x
3793,1,Dark Blonde ,x
3794,1,Blonde until my first pregnancy,x
3795,1,very light blonde as child to med brown as adult,x
3796,1,red/blond/brown,x
3797,Phenotype,SAT - when taken,x
